rotulo,seq,tempo_ms
CABO,1,0.901
CABO,2,1.41
CABO,3,2.18
CABO,4,2.24
CABO,5,2.40
CABO,6,1.99
CABO,7,2.00
CABO,8,1.59
CABO,9,2.41
CABO,10,1.15
CABO,11,1.90
CABO,12,2.04
CABO,13,2.65
CABO,14,2.69
CABO,15,2.46
CABO,16,2.39
CABO,17,2.66
CABO,18,2.49
CABO,19,2.05
CABO,20,2.41
CABO,21,2.42
CABO,22,1.81
CABO,23,2.28
CABO,24,1.80
CABO,25,2.80
CABO,26,1.98
CABO,27,1.62
CABO,28,1.50
CABO,29,1.94
CABO,30,2.86
CABO,31,2.75
CABO,32,2.48
CABO,33,2.16
CABO,34,2.02
CABO,35,1.78
CABO,36,2.12
CABO,37,2.18
CABO,38,2.53
CABO,39,1.88
CABO,40,1.31
CABO,41,1.66
CABO,42,2.01
CABO,43,2.39
CABO,44,1.94
CABO,45,2.44
CABO,46,1.86
CABO,47,1.74
CABO,48,2.44
CABO,49,3.20
CABO,50,1.79
CABO,51,2.27
CABO,52,2.73
CABO,53,4.94
CABO,54,1.89
CABO,55,1.87
CABO,56,1.74
CABO,57,2.36
CABO,58,1.86
CABO,59,1.70
CABO,60,2.88
CABO,61,2.43
CABO,62,1.65
CABO,63,1.82
CABO,64,1.78
CABO,65,2.84
CABO,66,2.15
CABO,67,2.60
CABO,68,2.67
CABO,69,2.31
CABO,70,2.79
CABO,71,2.43
CABO,72,2.24
CABO,73,2.17
CABO,74,2.67
CABO,75,2.56
CABO,76,1.52
CABO,77,1.06
CABO,78,4.00
CABO,79,1.62
CABO,80,2.02
CABO,81,1.41
CABO,82,2.85
CABO,83,2.01
CABO,84,1.47
CABO,85,1.82
CABO,86,1.56
CABO,87,2.66
CABO,88,2.09
CABO,89,1.78
CABO,90,2.21
CABO,91,1.59
CABO,92,7.54
CABO,93,2.32
CABO,94,6.99
CABO,95,7.08
CABO,96,2.81
CABO,97,2.00
CABO,98,2.98
CABO,99,1.61
CABO,100,2.34
4G,1,116
4G,2,127
4G,3,137
4G,4,104
4G,5,122
4G,6,139
4G,7,121
4G,8,300
4G,9,134
4G,10,115
4G,11,413
4G,12,151
4G,13,95.7
4G,14,108
4G,15,215
4G,16,110
4G,17,174
4G,18,98.2
4G,19,105
4G,20,210
4G,21,101
4G,23,164
4G,24,146
4G,25,117
4G,26,198
4G,27,107
4G,28,123
4G,29,121
4G,30,113
4G,31,508
4G,32,305
4G,33,120
4G,34,114
4G,35,110
4G,36,113
4G,38,130
4G,39,447
4G,40,125
4G,41,134
4G,42,105
4G,43,130
4G,44,141
4G,45,254
4G,46,164
4G,47,141
4G,48,156
4G,49,154
4G,50,283
4G,51,359
4G,52,187
4G,53,201
4G,54,403
4G,55,330
4G,56,307
4G,57,278
4G,58,436
4G,60,143
4G,61,467
4G,62,415
4G,63,209
4G,64,331
4G,65,152
4G,66,196
4G,67,495
4G,68,119
4G,69,144
4G,70,103
4G,71,350
4G,72,163
4G,73,110
4G,74,255
4G,75,400
4G,76,217
4G,77,118
4G,78,112
4G,79,113
4G,80,381
4G,81,126
4G,82,108
4G,83,117
4G,84,308
4G,85,399
4G,86,151
4G,87,309
4G,88,145
4G,90,378
4G,91,375
4G,92,328
4G,93,205
4G,94,98.8
4G,95,120
4G,96,159
4G,98,874
4G,99,187
4G,100,165
